Game Name;Release Name;Package Name;Version Code;Last Updated;Size (MB);Downloads;Rating;Rating Count
Action Hero;Action Hero v109160+1.00.109160 -VRP v76;com.fasttravelgames.solero;109160;2025-05-02 11:38 UTC;5728;85.09;0;0
Action Resort XR;Action Resort XR v484+0.4.84 -VRP v76;com.verseus.actionresort;484;2025-08-11 21:53 UTC;1480;83.99;0;0
Active Shooter Survival;Active Shooter Survival v9+21.5.24 -VRP v76;com.incitevr.activeshooter;9;2025-05-02 11:39 UTC;518;62.46;0;0
AEROGAMI VR PAPER PLANE SIMULATOR;AEROGAMI VR PAPER PLANE SIMULATOR v5+1.4 -VRP;com.yunlystudio.aerogamivr;5;2025-10-29 22:48 UTC;404;57.51;0;0
AFFECTED- The Manor - Complete Edition;AFFECTED- The Manor - Complete Edition v114+1.9 -VRP v76;com.fallen.manorquest;114;2025-05-02 11:37 UTC;1742;84.44;0;0
Age of the monster;Age of the monster v1+1.0.0 -VRP v76;com.Albyon.LTDM;1;2025-08-02 14:50 UTC;699;57.02;0;0
Agent Simulator;Agent Simulator v553+0.2 -VRP v76;com.StudioGamebit.AgentSimulator;553;2025-05-02 11:39 UTC;424;80.75;0;0
AI Roommate;AI Roommate v420+4.7.1 -VRP;com.Raetae.AIRoommate;420;2026-03-11 08:19 UTC;1912;96.65;0;0
AI Therapist- Your Emotional Guide;AI Therapist- Your Emotional Guide v136+4.6.0 -VRP;com.Raetae.AITherapist;136;2026-02-11 11:48 UTC;1080;79.69;0;0
Aim & Bounce;Aim & Bounce v1+1 -VRP;com.EstiSoft.AimBounce;1;2025-12-14 23:01 UTC;48;47.32;0;0
Aim Assault;Aim Assault v46+1.0.46 -VRP;com.DIVR.AimAssault;46;2026-01-17 20:30 UTC;2277;92.43;0;0
Aim Trainer;Aim Trainer v30+1.0 -VRP;com.IcedArtisan.AimTrainer;30;2025-08-27 16:05 UTC;368;67.10;0;0
AimVR;AimVR v15+0.1.15 -VRP v76;app.pinbit.aimvr;15;2025-05-02 11:39 UTC;169;71.70;0;0
Air Brigade;Air Brigade v192+1.92 -VRP v76;com.OnlyHumanStudios.AirBrigadeVR;192;2025-05-02 11:39 UTC;1135;76.15;0;0
Air Guitar;Air Guitar v2+1 -VRP;com.vlura.airguitar;2;2026-01-15 12:33 UTC;165;76.95;0;0
Air Hockey VR;Air Hockey VR v204+2.0.0 -VRP;com.Polygames.AirHockeyVr;204;2026-01-19 11:06 UTC;246;92.66;0;0
Air Traffic BLITZ;Air Traffic BLITZ v10+1.1 -VRP v76;com.reflektsoft.AirTrafficBlitzQ;10;2025-05-02 11:39 UTC;355;55.15;0;0
AirFight;AirFight v4+0.0.4 -VRP;com.CDHTG.AIRFIGHT;4;2025-09-21 18:43 UTC;2048;71.05;0;0
Airport Ground Handling Simulator VR;Airport Ground Handling Simulator VR v25+1.4.3 - 2023-04-14_17-33 - 16fe2009 -VRP v76;com.AVIAR.AGHS;25;2025-05-02 11:39 UTC;2481;78.40;0;0
AirRacer;AirRacer v32+2.0 -VRP v76;com.KAMPAI.AirRacer;32;2025-05-02 11:39 UTC;253;45.42;0;0
Airspace Defender;Airspace Defender v213+0.1 -VRP v76;com.notsuspicious.airspacedefender;213;2025-05-02 11:39 UTC;134;68.05;0;0
Ajax All Powerful;Ajax All Powerful v12+2.7 -VRP;com.easyAction.ajax.se;12;2025-09-06 11:37 UTC;568;61.05;0;0
Akpala;Akpala v326+1.3763 -VRP;com.RedefineArts.AkpalaVR;326;2025-07-29 13:26 UTC;5805;59.41;0;0
Alex and the Jets;Alex and the Jets v3157+0.37 -VRP;com.HOOPOStudios.Alex;3157;2026-02-05 11:35 UTC;223;80.83;0;0
Alien Squatters;Alien Squatters v4+0.2 -VRP v76;com.ReedGaming.AlienSquatters;4;2025-05-02 11:40 UTC;239;40.21;0;0
Alien- Rogue Incursion;Alien- Rogue Incursion v523063+MN-523063 -VRP;com.Survios.Midnight;523063;2026-03-13 13:49 UTC;13874;95.63;0;0
Alienation;Alienation v23+1.293 -VRP v76;com.fiftyonealiens.alienationgame;23;2025-05-02 11:40 UTC;241;64.36;0;0
All Hail the Cook-o-tron;All Hail the Cook-o-tron v10+1.2.5 -VRP v76;com.SlapJak.CookOtron;10;2025-05-02 11:40 UTC;846;64.02;0;0
All In One Sports VR;All In One Sports VR v91+1.8.0 -VRP;com.Appnori.AllInOneSports;91;2026-01-16 19:47 UTC;1013;98.17;0;0
All In One Summer Sports VR;All In One Summer Sports VR v52+0.5.1 -VRP v76;com.Appnori.SummerSports;52;2025-05-02 11:40 UTC;820;88.13;0;0
All-In-One Sports;All-In-One Sports v91+1.8.0 -VRP;com.Appnori.AllInOneSports;91;2025-12-19 21:58 UTC;1013;98.17;0;0
Almas Disk Episode 01 - Atom;Almas Disk Episode 01 - Atom v28+V2-0.97 -VRP v76;com.Raumkapsel.AlmasDisk_Episode1;28;2025-05-02 11:40 UTC;108;22.18;0;0
Along Together;Along Together v14+1.2.11 -Vrmoo;com.turbobutton.alongtogetherovr;14;2025-11-20 19:48 UTC;310;64.40;0;0
AlpineAcceleration;AlpineAcceleration v11+1.1 -VRP v76;com.sai.AlpineAcceleration;11;2025-05-02 11:40 UTC;133;14.04;0;0
ALTDEUS- Beyond Chronos;ALTDEUS- Beyond Chronos v538+1.1.538 -VRP v76;com.MyDearest.Altdeus;538;2025-05-02 11:37 UTC;2044;57.66;0;0
Amber of Jinn;Amber of Jinn v7+7 -VRP v76;com.StixorTech.TheGhostHunter;7;2025-05-02 11:40 UTC;656;48.69;0;0
Ambulance Life;Ambulance Life v4+1.0.3 -VRP;com.initiumStudio.AmbulanceLife;4;2026-01-12 09:49 UTC;499;79.00;0;0
Ambulate to Wheelchair Simulator;Ambulate to Wheelchair Simulator v11+1.0 -VRP v76;com.Holopundits.AmbulatetoWheelchairSimulator;11;2025-05-02 11:40 UTC;212;46.90;0;0
Ambulate using Transfer Belt Simulator;Ambulate using Transfer Belt Simulator v14+2.0 -VRP;com.Holopundits.AmbulateusingTransferBeltSimulator;14;2026-03-14 14:42 UTC;183;87.94;0;0
Amid Evil;Amid Evil v131+1.34 -VRP v76;aei.AndreElijahImmersive.AmidEvilVR;131;2025-05-02 11:41 UTC;4242;63.86;0;0
Anatomy of a Chicken;Anatomy of a Chicken v2+1.0 -VRP v76;com.poultryhub.anatomyofachicken;2;2025-05-02 11:41 UTC;97;40.17;0;0
Ancient Dungeon;Ancient Dungeon v310+ea0.1.9.5 -VRP;de.erthu.ancientdungeonfull;310;2026-03-14 12:05 UTC;271;98.02;0;0
Andromeda Sports;Andromeda Sports v34+1.1.4 -VRP v76;com.kinerse.andromedaSports.apk;34;2025-05-02 11:41 UTC;253;51.58;0;0
Angry Birds VR- Isle of Pigs;Angry Birds VR- Isle of Pigs v307278777+3.7.5.278777-release -VRP;com.resolutiongames.abvriop.santacruz;307278777;2025-08-28 19:52 UTC;580;97.68;0;0
Angry Birds VR- Isle of Pigs (Quest 1);Angry Birds VR- Isle of Pigs (Quest 1) v305100058+3.5.100058 -VRP;com.resolutiongames.abvriop.santacruz;305100058;2024-03-07 12:43 UTC;358;83.91;0;0
Angry Universe VR;Angry Universe VR v40+0.22.4 -VRP v76;com.rottaca.AngryUniverse;40;2025-05-02 11:41 UTC;214;57.93;0;0
Animal Keeper;Animal Keeper v3+1.0.2 -VRP v76;com.FrenchIndie.AnimalKeeper;3;2025-06-21 19:57 UTC;297;48.19;0;0
Animalz Mixed Reality;Animalz Mixed Reality v608+1.608 -VRP v76;com.ZOSUStudiosLLC.ZOSUhandsc;608;2025-05-02 11:41 UTC;2627;46.22;0;0
Anime Fight Club - Simulator (Early Access);Anime Fight Club - Simulator (Early Access) v1+1.0 -VRP v76;com.vrmonkey.isekai;1;2025-05-02 11:41 UTC;523;68.58;0;0
Another Door- Escape Room;Another Door- Escape Room v41+1.0.8 -VRP v76;com.skonec.escaperoomonline;41;2025-05-02 11:41 UTC;2055;82.69;0;0
Anshar 2- Hyperdrive;Anshar 2- Hyperdrive v196+196 -VRP v76;com.ozwe.aw2h;196;2025-05-02 11:42 UTC;3826;61.73;0;0
ANSUZ;ANSUZ v135+1.0.3 -VRP v76;com.characterBank.suzunari_work;135;2025-05-02 11:37 UTC;233;39.29;0;0
Antiprism;Antiprism v6+1.04 -VRP v76;com.ZeroFun.Antiprism;6;2025-05-02 11:42 UTC;759;39.98;0;0
anyWR;anyWR v2033+5.394 -VRP;com.anywr.anywr;2033;2026-02-25 15:28 UTC;149;85.13;0;0
Apex Construct;Apex Construct v64+64.0 -VRP v76;com.fasttravelgames.apexconstruct;64;2025-05-02 11:42 UTC;1370;72.04;0;0
Apollo 11;Apollo 11 v22+2.3 -VRP v76;com.immersivevreducation.Apollo11QuestFinal;22;2025-05-02 11:42 UTC;1868;79.76;0;0
Aqua Glide;Aqua Glide v58+0.0.3.9 -VRP v76;com.HorizonForge.AquaGlide;58;2025-05-02 11:42 UTC;3197;66.03;0;0
Aquapark Tycoon;Aquapark Tycoon v2+0.2 -VRP v76;com.EstiSoft.AquaparkTycoon;2;2025-05-26 13:53 UTC;62;37.28;0;0
AquaPoloX;AquaPoloX v1+0.1 -VRP;com.Xzec.AquaPoloX;1;2026-01-17 20:30 UTC;90;61.58;0;0
Aquarium Adventures;Aquarium Adventures v5+1.02 -VRP v76;com.framesixtylabs.aquarium;5;2025-05-02 11:42 UTC;732;64.63;0;0
Aquascape;Aquascape v55+0.4.3 -VRP v76;com.DevsUnitedGames.Aquascape;55;2025-05-02 11:42 UTC;248;64.78;0;0
AR Planes;AR Planes v91+1.04 -VRP;space.VROOM.ARPlanes;91;2025-10-24 11:02 UTC;717;64.44;0;0
Arashi- Castles of Sin - Final Cut;Arashi- Castles of Sin - Final Cut v1047+1.0.1047.29509-rc -VRP v76;com.SDI.arashi;1047;2025-05-02 11:42 UTC;5727;81.55;0;0
Arcade;Arcade v29000+13.0 -VRP;org.neopunk.arcade;29000;2025-09-27 21:33 UTC;74;59.91;0;0
Arcade 80 VR Space Attack;Arcade 80 VR Space Attack v1+1.0.4 -VRP;com.realdragon.arcade80vr01;1;2025-08-11 22:16 UTC;65;54.32;0;0
Arcade Paradise VR;Arcade Paradise VR v1012+1.026 -VRP v76;com.nosebleed.ArcadeParadiseVR;1012;2025-05-02 11:42 UTC;2208;85.47;0;0
Arcade Ranger;Arcade Ranger v165+1.013 -VRP;com.Pumpkinvrar.Retroverse;165;2025-11-21 13:50 UTC;1020;65.92;0;0
Arcade Ranger (MR-Fix);Arcade Ranger (MR-Fix) v165+1.013 -VRP;com.mrf.Pumpkinvrar.Retroverse;165;2025-11-21 13:50 UTC;1020;63.83;0;0
Arcane Horizon;Arcane Horizon v82+1.0 -VRP v76;com.DefaultCompany.ArcaneHorizon;82;2025-05-02 11:42 UTC;1117;44.43;0;0
Arcaxer;Arcaxer v220+1.44.3 -VRP v76;com.Overrungames.Arcaxer;220;2025-05-02 11:43 UTC;1190;34.54;0;0
Archery Land;Archery Land v12+1.0 -VRP v76;com.Looksten.ArcheryLand;12;2025-05-02 11:43 UTC;603;54.62;0;0
Archery Master;Archery Master v4+1.0 -VRP v76;com.FifthScape.ArcheryMaster;4;2025-05-30 22:33 UTC;594;64.66;0;0
Arcsmith;Arcsmith v128+1.128 -VRP v76;com.BithellGames.Arcsmith;128;2025-05-02 11:43 UTC;702;41.54;0;0
AREA MAN LIVES;AREA MAN LIVES v194+1.2.4 -VRP;com.cyanventures.AreaManLives;194;2026-03-13 13:49 UTC;484;70.03;0;0
Aria;Aria v10+1.2 -VRP v76;com.BlueRibbon.Aria;10;2025-05-02 11:43 UTC;567;21.45;0;0
Arizona Sunshine;Arizona Sunshine v21876+1.6 -VRP v76;com.vertigogames.azsq;21876;2025-05-02 11:44 UTC;4537;90.19;0;0
Arizona Sunshine 2;Arizona Sunshine 2 v112988+1.1.87483 -VRP;com.vertigogames.azs2;112988;2025-10-17 20:45 UTC;23856;97.79;0;0
Arizona Sunshine Remake;Arizona Sunshine Remake v112989+1.1.87484 -VRP;com.vertigogames.azs1hd;112989;2025-10-19 12:12 UTC;23263;96.96;0;0
ARK and ADE;ARK and ADE v68+1.3.1 -VRP v76;com.CASTELLOInc.ARK_ADE_full;68;2025-05-02 11:37 UTC;2029;56.45;0;0
Arken Age;Arken Age v50+1.007.000 -VRP;com.vitruviusvr.arkenage;50;2025-10-31 10:20 UTC;4274;89.46;0;0
Arrow Song2;Arrow Song2 v40+40 -VRP v76;com.hbx.Arrow2;40;2025-05-02 11:44 UTC;1092;30.35;0;0
Arrowhead - Medieval Archery VR;Arrowhead - Medieval Archery VR v10+1.0.5 -VRP v76;com.kilogrames.arrowheadmedievalarcheryvr;10;2025-05-02 11:44 UTC;264;75.16;0;0
Arrows;Arrows v2+1.2.7 -VRP v76;com.aura.Arrows;2;2025-05-02 11:44 UTC;610;53.25;0;0
Art of Combat;Art of Combat v14+1.0.3a -VRP;com.FrogandSkull.ArtofCombatDemo;14;2026-03-13 13:49 UTC;416;75.35;0;0
Art of Combat- Fighting Dragons Championship;Art of Combat- Fighting Dragons Championship v22+1.0.4a -VRP v76;com.FrogandSkull.ArtofCombat;22;2025-05-02 11:49 UTC;410;38.49;0;0
Art Plunge;Art Plunge v202107012+202107012 -VRP v76;com.spaceplunge.artplungeoq;202107012;2025-05-02 11:44 UTC;339;66.34;0;0
Art Studio VR;Art Studio VR v70+0.2.961 -VRP v76;com.DanielyAna.ArtstudioVR;70;2025-05-02 11:49 UTC;127;49.45;0;0
Artax;Artax v14+1.4 -VRP v76;com.polyraw.artaxhd;14;2025-05-02 11:49 UTC;299;49.68;0;0
ARTful Puzzles;ARTful Puzzles v13+1.0.0 -VRP v76;com.TwoSnakesStudios.ArtElements;13;2025-08-16 22:29 UTC;1300;27.04;0;0
Arthur Owls Word Block;Arthur Owls Word Block v10402+1.4.2 -VRP;com.deeperbeige.wordblock;10402;2026-03-02 20:36 UTC;266;81.48;0;0
ARTO;ARTO v49+1.4 -VRP v76;com.kyb3r.ARTO;49;2025-06-25 06:10 UTC;1193;53.37;0;0
ArtQuest VR;ArtQuest VR v46+1.4.0 -VRP;com.caraco.artquestvr;46;2026-02-22 19:58 UTC;734;85.01;0;0
Asgards Wrath 2;Asgards Wrath 2 v5513+12.1.1689309 -VRP v76;com.Sanzaru.Wrath2;5513;2025-05-02 11:49 UTC;33507;97.11;0;0
Asgards Wrath 2 (Language Packs Only);Asgards Wrath 2 (Language Packs Only) v5513+12.1.1689309 -VRP v76;com.Sanzaru.Wrath2;5513;2025-05-02 11:49 UTC;2527;97.11;0;0
Ashen Arrows;Ashen Arrows v52+1.0 -VRP v76;com.RustyPipesGames.Ashen;52;2025-05-02 11:50 UTC;3173;43.67;0;0
Ashtar UFO;Ashtar UFO v1+1.0 -VRP v76;com.test.mj12;1;2025-05-02 11:53 UTC;460;05.48;0;0
Asphalt Fury;Asphalt Fury v7+7 -VRP v76;com.EstiSoft.AsphaltFury;7;2025-05-02 11:53 UTC;255;47.66;0;0
Assassins Creed Nexus VR;Assassins Creed Nexus VR v207706+MAIN.450412.207706.final -VRP v76;com.Ubisoft.ACNexusVR;207706;2025-05-02 11:53 UTC;16981;97.91;0;0
Assemble!;Assemble! v62+1.1.0 -VRP v76;com.godot.assemble;62;2025-07-05 08:51 UTC;437;33.74;0;0
Astra;Astra v641+1.0.14 -VRP v76;com.AtlasV.Astra;641;2024-07-15 20:13 UTC;0;18.75;0;0
Astra (MR-Fix);Astra (MR-Fix) v641+1.0.14 -VRP v76;com.mrf.AtlasV.Astra;641;2025-05-02 11:53 UTC;2344;76.30;0;0
Astraeus;Astraeus v45+1.45 -VRP v76;com.emcneill.Astraeus;45;2025-08-22 12:10 UTC;164;31.23;0;0
Astral Bodies;Astral Bodies v9+1.5 -VRP v76;com.RGS.AstralBodies;9;2025-05-02 11:53 UTC;237;27.58;0;0
Astro Chef;Astro Chef v111+1.0.11 -VRP v76;com.LionCastle.AstroChef;111;2025-05-02 11:53 UTC;1194;58.84;0;0
Astro Intruders;Astro Intruders v4+1.3 -VRP;com.framesixtylabs.astro;4;2025-09-07 12:11 UTC;226;68.39;0;0
Astros Ace XR (MR-Fix);Astros Ace XR (MR-Fix) v10+0.8 -VRP v76;com.mrf.AMSoftware.AstrosAce;10;2025-05-02 11:55 UTC;62;40.55;0;0
Atlas Obscura VR;Atlas Obscura VR v1033+1.6.1 -VRP;com.NewCanvas.AtlasObscuraVR;1033;2025-12-08 10:15 UTC;4096;51.69;0;0
Atomic Pest Control;Atomic Pest Control v43+1.0 -VRP v76;com.IgniteGameStudio.APC;43;2025-05-02 11:55 UTC;0;24.84;0;0
Atomic Pest Control (MR-Fix);Atomic Pest Control (MR-Fix) v43+1.0 -VRP v76;com.mrf.IgniteGameStudio.APC;43;2025-05-02 11:55 UTC;215;56.22;0;0
Attack on Titan VR- Unbreakable;Attack on Titan VR- Unbreakable v2950+1.0.2950 -VRP;com.UNIVRS.Freedom;2950;2026-02-01 15:40 UTC;3116;96.39;0;0
AUDICA;AUDICA v131808601+1.0.3.4 -VRP v76;com.harmonixmusic.kata;131808601;2025-05-27 06:11 UTC;825;82.47;0;0
AUDICA (Custom Tracks);AUDICA (Custom Tracks) v131808601+1.0.3.4 -VRP v76;com.harmonixmusic.kata;131808601;2025-05-27 06:12 UTC;6929;82.47;0;0
Audio Trip;Audio Trip v726+1.0.5678 -VRP v76;com.KinemotikStudios.AudioTripQuest;726;2025-06-18 20:40 UTC;1373;77.82;0;0
Audioshield;Audioshield v136+136 -VRP v76;com.Audiosurf.Audioshield;136;2025-05-02 11:55 UTC;297;59.07;0;0
Augmented Empire;Augmented Empire v120+1.1 -VRP v76;com.coatsink.augmentedempireremastered;120;2025-05-02 11:55 UTC;2509;56.14;0;0
Auscultation training;Auscultation training v47+2024.10.02_v1 -VRP v76;com.ProvenReality.Stethoscope_Limited;47;2025-05-02 11:55 UTC;216;28.68;0;0
AVICII Invector- Encore Edition;AVICII Invector- Encore Edition v58+1 -VRP v76;com.hellothere.invectorvr;58;2025-05-02 11:38 UTC;1635;57.28;0;0
AVO Escape Space;AVO Escape Space v14+0.9.5 -VRP v76;com.GameCookVR.AvoEscapeSpace;14;2025-05-02 11:38 UTC;375;45.95;0;0
Axegend;Axegend v1+3.0.5 -VRP v76;com.SubversionSquads.Axegend;1;2025-05-02 11:57 UTC;811;29.97;0;0
Ayahuasca - Kosmik Journey;Ayahuasca - Kosmik Journey v38+AppLab_1.4.1 -VRP v76;com.SmallStudio.AyahuascaKosmikJourney;38;2025-05-02 11:57 UTC;2039;62.91;0;0
AYAKASHI KITAN;AYAKASHI KITAN v6+1.000 -VRP v76;com.NSM.Ayakashikitan_SA;6;2025-05-02 11:38 UTC;310;48.38;0;0
B-Team;B-Team v70+21.11.09.358028 -VRP;com.twistedpixelgames.BTEAM_App;70;2026-03-15 10:01 UTC;1020;72.50;0;0
Baba Yaga;Baba Yaga v3500+1.0.3500 -VRP v76;com.baobab.babayaga;3500;2025-05-04 12:22 UTC;1027;53.78;0;0
Baby Hands;Baby Hands v24+2.3 -VRP v76;com.ChickenWaffle.BabyHands;24;2025-05-04 12:22 UTC;171;67.82;0;0
Baby Tag;Baby Tag v24+3.0 -VRP v76;com.GameDay.BabyTag;24;2025-05-04 12:22 UTC;257;31.30;0;0
Backhoe Safety and Operation;Backhoe Safety and Operation v19+2.1 -VRP;com.HoloPundits.BackhoeSafetyandOperation;19;2025-12-25 00:34 UTC;301;46.63;0;0
Backrooms;Backrooms v8+1.0 -VRP v76;com.molancegames.backrooms;8;2025-08-09 10:19 UTC;392;80.94;0;0
Backyard Archery VR;Backyard Archery VR v209+1.0 -VRP v76;com.BarebowArchery.Project;209;2025-05-04 12:22 UTC;398;34.35;0;0
Backyard Kickabout;Backyard Kickabout v19+2.0 -VRP v76;com.Joynamix.Kickabout;19;2025-06-15 21:44 UTC;1185;44.92;0;0
Bacon Roll;Bacon Roll v6+1.15.41 -VRP v76;com.fieldofvision.baconroll;6;2025-05-04 12:22 UTC;211;26.74;0;0
Bad Parenting 1- Mr. Red Face VR;Bad Parenting 1- Mr. Red Face VR v1+1.0 -VRP;com.rs.bad.parenting.mr.red.face.meta;1;2025-09-18 17:05 UTC;73;76.57;0;0
Bad Saber;Bad Saber v6+1.5 -VRP;com.Smashville.Badsaber;6;2025-10-13 20:17 UTC;90;42.98;0;0
Badminton;Badminton v14+2.0.4 -VRP;com.ironstonegames.badmintonvr;14;2025-09-15 20:24 UTC;748;67.93;0;0
Badminton Battle;Badminton Battle v70+7.0 -VRP;com.bjtu.badmintonSim;70;2025-10-24 11:02 UTC;493;62.76;0;0
Badminton Time;Badminton Time v14+0.14 -VRP;com.FishingCactus.Badminton_Time;14;2025-11-29 17:08 UTC;2183;68.96;0;0
Badminton Training Simulator (BTS);Badminton Training Simulator (BTS) v59+2.0.19 -VRP;com.siedan.BadmintonTrainingSim;59;2026-03-12 23:18 UTC;457;96.23;0;0
Ballista;Ballista v42+20.42 -VRP;com.HighVoltage.Crossbow;42;2026-03-15 10:01 UTC;1956;67.52;0;0
Balloon Bats;Balloon Bats v180+180 -VRP v76;com.MayflowerWorlds.BalloonBats;180;2025-05-04 12:22 UTC;195;03.42;0;0
Balloon Gunner;Balloon Gunner v117+1.8.8 -VRP v76;com.bobw.balloon.appovr;117;2025-05-04 12:23 UTC;12;57.85;0;0
Ballooning Adventures;Ballooning Adventures v5+1.1.2 -VRP v76;com.vector3up.BallooningAdventures;5;2025-05-04 12:23 UTC;115;14.30;0;0
